text_id,title,author,tradition,origin_raw,date_composed,material_type,status,notes
epic-of-gilgamesh,Epic of Gilgamesh,Anonymous,mesopotamian,Mesopotamia,c. 2100–1200 BCE,Epic poetry,pending,
enūma-eliš,Enūma Eliš,Anonymous,mesopotamian,Babylonia,18th–12th c. BCE,Creation myth,pending,
atra-hasis,Atra-Hasis,Anonymous,mesopotamian,Babylonia,18th c. BCE,Flood myth,pending,
baal-cycle,Baal Cycle,Anonymous,levantine,Canaanite (Ugarit),1500–1200 BCE,Mythic poetry,pending,
book-of-the-dead,Book of the Dead,Anonymous,egyptian,Ancient Egypt,1550–50 BCE,Funerary texts,pending,
genesis-kjv,Genesis (KJV),Multiple authors,hebrew,Ancient Israel,10th–5th c. BCE,Religious scripture,pending,
the-iliad,The Iliad,Homer,greek,Ancient Greece,c. 8th century BCE,Epic poetry,pending,
the-odyssey,The Odyssey,Homer,greek,Ancient Greece,c. 8th century BCE,Epic poetry,pending,
theogony,Theogony,Hesiod,greek,Ancient Greece,c. 700 BCE,Creation myth,pending,
aesops-fables,Aesop's Fables,Aesop,greek,Ancient Greece,~6th century BCE,Fables,pending,
rigveda,Rigveda,Multiple authors,indian,India,1500–1000 BCE,Sacred hymns,pending,
rāmāyaṇa,Rāmāyaṇa,Vālmīki,indian,India,300–100 BCE,Epic narrative,pending,
mahābhārata,Mahābhārata,Vyāsa,indian,India,400 BCE – 400 CE,Epic narrative,pending,
pañchatantra,Pañchatantra,Unknown,indian,India,3rd century BCE,Animal fables,pending,
jātaka-tales,Jātaka Tales,Anonymous,indian,India/South Asia,3rd century BCE,Moral tales,pending,
poetic-edda,Poetic Edda,Anonymous,norse,Iceland,13th century,Mythic poems,pending,
prose-edda,Prose Edda,Snorri Sturluson,norse,Iceland,c. 1220 CE,Mythology manual,pending,
beowulf,Beowulf,Anonymous,norse,Anglo-Saxon,8th–10th c.,Epic poetry,pending,
the-mabinogion,The Mabinogion,Anonymous,celtic,Wales,12th–13th century,Mythic prose,pending,
táin-bó-cúailnge,Táin Bó Cúailnge,Anonymous,celtic,Ireland,12th century (oral older),Epic saga,pending,
one-thousand-and-one-nights,One Thousand and One Nights,Various,indian,Middle East & South Asia,14th century,Folktale anthology,pending,
shāhnāmeh,Shāhnāmeh,Ferdowsi,persian,Persia (Iran),1010 CE,Epic poetry,pending,
book-of-dede-korkut,Book of Dede Korkut,Anonymous,turkic,Oghuz Turkic,14th–15th century,Heroic epics,pending,
epic-of-manas,Epic of Manas,Anonymous,turkic,Kyrgyz,15th–18th century,Oral epic,pending,
epic-of-king-gesar,Epic of King Gesar,Anonymous,tibetan,Tibet & Central Asia,12th–14th century,Mythic epic,pending,
journey-to-the-west,Journey to the West,Wu Cheng'en,chinese,China,1592,Fantasy epic,pending,
fēngshén-yǎnyì,Fēngshén Yǎnyì,Xu Zhonglin (attrib.),chinese,China,c. 1550,Mythic novel,pending,
kojiki,Kojiki,Ōno Yasumaro,japanese,Japan,712 CE,Mythic chronicle,pending,
popol-vuh,Popol Vuh,Anonymous,mesoamerican,Maya (Guatemala),1550 (oral older),Mythic cosmology,pending,
epic-of-sundiata,Epic of Sundiata,Oral tradition,african,Mali,13th c. (written 20th c.),Oral epic,pending,
anansi-tales,Anansi Tales,Oral tradition,african,West Africa / Caribbean,19th c. collected,Trickster folklore,pending,
le-morte-darthur,Le Morte d'Arthur,Sir Thomas Malory,european,England,1485,Arthurian legend,pending,
divine-comedy,Divine Comedy,Dante Alighieri,roman,Italy,1308–1321,Allegorical epic,pending,
paradise-lost,Paradise Lost,John Milton,european,England,1667,Biblical epic,pending,
grimms-fairy-tales,Grimms' Fairy Tales,Jacob & Wilhelm Grimm,germanic,Germany,1812–1857,Folktales,pending,
mother-goose-tales,Mother Goose Tales,Charles Perrault,european,France,1697,Fairy tales,pending,
bulfinchs-mythology,Bulfinch's Mythology,Thomas Bulfinch,anthology,United States,1855–1863,Mythology handbook,pending,
the-golden-bough,The Golden Bough,James G. Frazer,celtic,Scotland/UK,1890–1915,Comparative mythology,pending,
andrew-langs-fairy-books,Andrew Lang's Fairy Books,Andrew & Nora Lang,anthology,Global sources,1889–1913,Folktale collections,pending,
joseph-jacobs-fairy-tales,Joseph Jacobs' Fairy Tales,Joseph Jacobs,indian,UK/Europe/India,1890–1912,Folktale collections,pending,
russian-fairy-tales,Russian Fairy Tales,Alexander Afanasyev,european,Russian Empire,1855–1863,Folktales,pending,
kalevala,Kalevala,Elias Lönnrot,european,Finland/Karelia,1835–1849,Epic poetry,pending,
south-african-folk-tales,South-African Folk-Tales,James A. Honey,african,South Africa,1910,Oral folklore,pending,
west-african-folk-tales,West African Folk-Tales,W.H. Barker & Cecilia Sinclair,african,West Africa (Ghana),1917,Oral folklore,pending,
yoruba-legends,Yoruba Legends,M. I. Ogumefu,african,Nigeria,1929,Folk legends,pending,
zanzibar-tales,Zanzibar Tales,George W. Bateman,african,Zanzibar (Swahili),1901,Oral folklore,pending,
kaffir-xhosa-folk-lore,Kaffir (Xhosa) Folk-Lore,George McCall Theal,african,South Africa (Xhosa),1886,Folk legends,pending,
ikom-folk-stories-from-southern-nigeria,Ikom Folk Stories from Southern Nigeria,Elphinstone Dayrell,african,Nigeria,1913,Tribal folklore,pending,
myths-and-legends-of-the-bantu,Myths and Legends of the Bantu,Alice Werner,african,Sub-Saharan Africa,1933,Myths and legends,pending,
tales-of-the-north-american-indians,Tales of the North American Indians,Stith Thompson,north-american,North America (various tribes),1929,Native folklore,pending,
myths-of-the-cherokee,Myths of the Cherokee,James Mooney,north-american,Cherokee Nation,1900,Tribal mythology,pending,
myths-and-legends-of-the-mississippi-valley-and-th,Myths and Legends of the Mississippi Valley and the Great Lakes,Katharine B. Judson,north-american,North America,1914,Native American myths,pending,
the-myths-of-mexico-and-peru,The Myths of Mexico and Peru,Lewis Spence,mesoamerican,Mesoamerica & Andes,1913,Mythology,pending,
philippine-folk-tales,Philippine Folk Tales,Mabel Cook Cole,southeast-asian,Philippines,1916,Oral folklore,pending,
malay-magic,Malay Magic,Walter W. Skeat,southeast-asian,Malaysia,1900,Mythic beliefs & folklore,pending,
laos-folk-lore-of-farther-india,Laos Folk-Lore of Farther India,Katherine Neville Fleeson,southeast-asian,Laos/Thailand,1899,Folk tales,pending,
the-legends-and-myths-of-hawaii,The Legends and Myths of Hawaii,King David Kalākaua,polynesian,Hawaii,1888,Myths and legends,pending,
polynesian-mythology,Polynesian Mythology,Sir George Grey,polynesian,New Zealand (Māori),1855,Mythology,pending,
eskimo-folk-tales,Eskimo Folk-Tales,Knud Rasmussen,arctic,Greenland Inuit,1921,Folk tales,pending,
the-pilgrims-progress,The Pilgrim's Progress,John Bunyan,european,England,1678,Allegorical prose,pending,
the-conference-of-the-birds,The Conference of the Birds,Farīd ud-Dīn Attar,persian,Persia,c. 1177,Allegorical poetry,pending,
gnostic-gospels,Gnostic Gospels,Various,egyptian,Early Christian/Egypt,2nd–4th century CE,Religious texts,pending,
inannas-descent,Inanna's Descent to the Underworld,Anonymous,mesopotamian,Sumer,c. 1900-1600 BCE,Descent myth,pending,THE archetypal descent narrative
metamorphoses,Metamorphoses,Ovid,roman,Rome,8 CE,Transformation myths,pending,Comprehensive catalog of 250+ transformation myths
homeric-hymns,Homeric Hymns,Anonymous (attributed to Homer),greek,Ancient Greece,7th-6th century BCE,Religious hymns,pending,"Major hymns to Demeter, Apollo, Hermes, Aphrodite"
aeneid,Aeneid,Virgil,roman,Rome,29-19 BCE,Epic poetry,pending,"Roman foundation myth, includes katabasis (descent to underworld)"
argonautica,Argonautica,Apollonius of Rhodes,greek,Hellenistic Egypt,3rd century BCE,Epic poetry,pending,Jason and the Golden Fleece - quest narrative
volsunga-saga,Völsunga saga,Anonymous,norse,Iceland,13th century,Legendary saga,pending,Sigurd/Siegfried cycle - source for Wagner's Ring
descent-of-ishtar,Descent of Ishtar,Anonymous,mesopotamian,Akkad/Babylonia,c. 1200 BCE,Descent myth,pending,Akkadian version of Inanna's Descent
orphic-hymns,Orphic Hymns,Anonymous (Orphic tradition),greek,Ancient Greece,2nd-3rd century CE,Religious hymns,pending,Mystery tradition hymns to 87 deities
apu-ollantay,Apu Ollantay,Anonymous,south-american,Inca Peru,Pre-Columbian (written 18th c.),Drama,pending,Only known Native American dramatic composition - Inca love story
guarani-creation-myths,Guarani Creation Myths,Oral tradition,south-american,Paraguay/Argentina (Guarani),Pre-Columbian (collected 19th-20th c.),Creation mythology,pending,"Tupã, Ñande Ramõi creation narratives - key South American cosmogony"
pre-columbian-myths,Pre-Columbian America: Myths and Legends,Donald A. Mackenzie,anthology,Mesoamerica & South America,1923,Mythology handbook,pending,"Comprehensive coverage of Aztec, Maya, Inca mythologies"
samguk-yusa,Samguk Yusa (Memorabilia of the Three Kingdoms),Il-yeon,korean,Korea (Goryeo),c. 1280 CE,Mythic chronicle,pending,Earliest record of Dangun legend - Korean foundation myth
